Mean,Median,Mode,Std Dev,Num Smoke Regions,Avg Smoke Area,Avg Red,Avg Green,Avg Blue,Label,Is_Smoke
188.05863932291666,186.0,160,36.548951297454444,12,40491.708333333336,194.51525933159724,186.2518088107639,189.34448133680556,1,0
188.08820421006945,186.0,160,36.53290182214985,10,48577.75,194.56201605902777,186.2673556857639,189.39266927083332,1,0
188.04921549479167,186.0,160,36.56278971770309,8,60785.75,194.5048415798611,186.23902235243057,189.3412326388889,1,0
188.07361219618056,186.0,160,36.54941846754547,8,60734.3125,194.54735460069443,186.24478624131945,189.39404079861112,1,0
188.02919270833334,186.0,160,36.572374803130316,8,60755.5625,194.48660590277777,186.21230360243055,189.3346701388889,1,0
188.19371202256946,186.0,160,36.337073473176396,9,53833.555555555555,194.73086046006944,186.42505316840277,189.37001953125,1,0
188.92358289930556,187.0,160,34.885839835340064,8,60242.375,195.87240125868055,187.5187575954861,189.22802734375,1,0
190.25283854166668,188.0,160,32.684610900020466,9,56189.22222222222,197.88952365451388,189.44462782118055,189.1181759982639,1,0
191.55435438368056,189.0,160,30.541619898672735,10,50051.5,199.84912109375,191.30998697916667,189.05746527777777,1,0
192.65869032118056,189.0,160,28.730582053967193,8,63305.875,201.5063888888889,192.88060763888888,189.02530598958333,1,0
193.48080078125,189.0,160,27.287090549259215,8,63862.8125,202.7543012152778,194.04617947048612,189.0021267361111,1,0
193.9916427951389,190.0,161,26.28709675420178,8,63801.9375,203.53190972222222,194.6882541232639,188.94504014756944,1,0
194.150224609375,190.0,161,26.125009653554876,5,104322.0,203.7904806857639,194.98554361979166,188.79498914930556,1,0
194.53414713541667,190.0,163,25.805909364040776,2,258635.0,204.12560438368055,195.22622612847223,189.39474392361112,1,0
194.56783420138888,190.0,163,25.76597917427779,1,516387.5,204.1676095920139,195.258271484375,189.4394748263889,1,0
193.4690744357639,189.0,163,26.979996540295136,1,524666.5,202.81812174479165,194.14053059895832,188.48069878472222,1,0
192.09862847222223,188.0,163,28.541003738240754,2,264432.5,201.10953559027777,192.74591796875,187.292509765625,1,0
190.9391558159722,186.0,163,29.881412503030077,1,525690.5,199.6963454861111,191.54549913194444,186.31613389756944,1,0
